name,ScoreSaberID,Azazal - Paws And Play Expert+,Yunomi - Koi no Uta (feat.Yuzaki Tsukasa) Expert+,USAO - Chariot Expert+,Misato Aki - Desire Hard,여유만만 - Lee Gwang Su and Curse of Mosquito Expert
notes,0,1225,1334,1213,340,534
yaomin,https://scoresaber.com/u/76561198073124986,84.68,92.99,92.1,0,83.04
kanahebi,https://scoresaber.com/u/76561198265242251,81.77,87.03,90.43,94.1,66.42
obaka,https://scoresaber.com/u/76561198142837806,85.3,89.29,0,0,85.67
hibit,https://scoresaber.com/u/76561198405857645,0,0,0,93.08,0
